AmerSur-G2,AmerSur-G3,Asia1-G1,Asia1-G2,Asia1-G3,Asia1-G4,Asia2-G1,Asia2-G2,Asia2-G3,Asia2-G4,Australia-G1,Australia-G2,Australia-G3,Australia-G4,Australia-G5,USA-G1,USA-G2,USA-G3,USA-G4,USA-G5
1.0,0.0,1.0,0.0,0.0,0.0,0.9534884,0.04651163,0.0,0.0,,,,,,0.02542373,0.9745763,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.0,,,,,,0.04508197,0.954918,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9512195,0.04878049,0.0,0.0,,,,,,0.06040268,0.9395973,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.969697,0.03030303,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.07282913,0.9271709,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.962963,0.03703704,0.0,0.0,0.0,0.6666667,0.3333333,0.0,0.0,0.06701031,0.9329897,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07142857,0.6428571,0.2857143,0.0,0.0,0.06331878,0.9366812,0.0,0.0,0.0
1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.05555556,0.5555556,0.3888889,0.0,0.0,0.05741627,0.9425837,0.0,0.0,0.0
1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.05555556,0.5555556,0.3888889,0.0,0.0,0.04530744,0.9546926,0.0,0.0,0.0
1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0625,0.625,0.3125,0.0,0.0,0.02173913,0.9782609,0.0,0.0,0.0
1.0,0.0,,,,,1.0,0.0,0.0,0.0,0.125,0.5,0.375,0.0,0.0,0.04100946,0.9589905,0.0,0.0,0.0
1.0,0.0,,,,,0.9830508,0.01694915,0.0,0.0,0.0,0.5714286,0.4285714,0.0,0.0,0.03960396,0.960396,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.983871,0.01612903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04166667,0.9583333,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9638554,0.03614458,0.0,0.0,0.0,0.6666667,0.3333333,0.0,0.0,0.05021834,0.9497817,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9558824,0.04411765,0.0,0.0,0.2,0.5,0.3,0.0,0.0,0.1137441,0.8862559,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.9375,0.0625,0.0,0.0,0.2,0.5,0.3,0.0,0.0,0.1235632,0.8764368,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.7317073,0.2682927,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.1204188,0.8795812,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.721519,0.278481,0.0,0.0,0.1176471,0.4705882,0.4117647,0.0,0.0,0.1212121,0.8787879,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.6,0.4,0.0,0.0,0.1111111,0.5,0.3888889,0.0,0.0,0.1228669,0.8771331,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.5875,0.4125,0.0,0.0,0.0,0.4545455,0.5454545,0.0,0.0,0.02572347,0.9742765,0.0,0.0,0.0
1.0,0.0,,,,,0.5148515,0.4851485,0.0,0.0,0.0,0.4666667,0.5333333,0.0,0.0,0.01818182,0.9818182,0.0,0.0,0.0
1.0,0.0,,,,,0.5913978,0.4086022,0.0,0.0,0.0,0.3888889,0.6111111,0.0,0.0,0.01209677,0.9879032,0.0,0.0,0.0
1.0,0.0,,,,,0.6380952,0.3619048,0.0,0.0,0.0,0.4210526,0.5789474,0.0,0.0,0.01886792,0.9811321,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.6666667,0.3333333,0.0,0.0,0.02083333,0.375,0.6041667,0.0,0.0,0.0212766,0.9787234,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.6982759,0.3017241,0.0,0.0,0.02083333,0.375,0.6041667,0.0,0.0,0.05498282,0.9450172,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.8111111,0.1888889,0.0,0.0,0.01923077,0.3846154,0.5961538,0.0,0.0,0.05211726,0.9478827,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.85,0.1214286,0.02142857,0.007142857,0.01960784,0.4705882,0.5098039,0.0,0.0,0.03664921,0.9633508,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.8333333,0.1363636,0.02272727,0.007575758,0.05357143,0.4107143,0.5357143,0.0,0.0,0.02807775,0.9697624,0.002159827,0.0,0.0
,,,,,,0.875,0.08653846,0.02884615,0.009615385,0.03846154,0.4807692,0.4807692,0.0,0.0,0.02791878,0.9695431,0.002538071,0.0,0.0
,,,,,,0.872549,0.08823529,0.02941176,0.009803922,0.04166667,0.4791667,0.4791667,0.0,0.0,0.002849003,0.994302,0.002849003,0.0,0.0
,,0.0,1.0,0.0,0.0,0.8295455,0.1022727,0.05681818,0.01136364,0.06666667,0.4666667,0.4666667,0.0,0.0,0.002610966,0.9947781,0.002610966,0.0,0.0
,,0.0,1.0,0.0,0.0,0.7647059,0.1176471,0.1176471,0.0,0.05454545,0.3818182,0.5636364,0.0,0.0,0.002890173,0.9942197,0.002890173,0.0,0.0
,,0.0,1.0,0.0,0.0,0.8333333,0.05555556,0.1111111,0.0,0.01408451,0.2676056,0.7183099,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.5526316,0.07894737,0.2894737,0.07894737,0.01052632,0.1894737,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.575,0.075,0.275,0.075,0.007246377,0.1521739,0.8405797,0.0,0.0,0.003067485,0.9969325,0.0,0.0,0.0
,,0.0,1.0,0.0,0.0,0.6341463,0.07317073,0.2195122,0.07317073,0.0,0.1607143,0.8392857,0.0,0.0,0.003676471,0.9963235,0.0,0.0,0.0
